id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C,deg_pH10,deg_50C
10421216_0,0.8510742,1.0428686,0.91199404,1.2263411,0.8589053
10421216_1,0.6657579,1.1519526,0.7748261,1.1714141,0.8053709
10421216_2,0.17889442,0.41166013,0.21551162,0.3380523,0.2885645
10421216_3,0.07054516,0.19096163,0.086845085,0.1764641,0.13972351
10421216_4,0.027244896,0.12180468,0.060941912,0.12009189,0.0792564
10421216_5,0.044572793,0.12980326,0.05988784,0.1386964,0.10027189
10421216_6,0.10117527,0.35163745,0.1407769,0.28596017,0.19917503
10421216_7,0.073797725,0.16082044,0.086459026,0.16629131,0.119877234
10421216_8,0.11890116,0.51231074,0.3355294,0.44157308,0.29217356
10421216_9,0.67594594,0.40635085,0.2864806,0.43654335,0.396567
10421216_10,0.5615257,0.38957697,0.3485171,0.38532603,0.37436163
10421216_11,0.27687085,0.23487589,0.22751677,0.3106104,0.325867
10421216_12,0.19823015,0.1496071,0.15462452,0.19387388,0.16722104
10421216_13,0.1934314,0.19739947,0.22993076,0.26764286,0.24145606
10421216_14,0.33576638,0.29494774,0.32962555,0.35169023,0.29674083
10421216_15,0.7589889,0.62361825,0.51399046,0.69801027,0.6186979
10421216_16,0.45414186,0.45142883,0.46188855,0.34695625,0.3087766
10421216_17,0.2151294,0.7987243,0.78114927,0.6636802,0.5274901
10421216_18,0.38999906,0.67289,0.61340815,0.4564429,0.4386149
10421216_19,0.2535686,0.39461476,0.3820909,0.27984098,0.29745376
10421216_20,0.1762833,0.69980156,0.6032541,0.47746563,0.4058386
10421216_21,0.284185,0.74119294,0.59771305,0.5844333,0.4249933
10421216_22,0.3108515,0.2790826,0.24368754,0.31578594,0.31022912
10421216_23,0.30452573,0.37740386,0.29728836,0.3529646,0.2914295
10421216_24,0.25017112,0.2281498,0.2008507,0.25608227,0.25269467
10421216_25,0.15693724,0.13921882,0.13292757,0.14084265,0.13394406
10421216_26,0.20740613,0.16803458,0.1613121,0.21073481,0.23362651
10421216_27,0.7385627,0.43518436,0.3243593,0.41033,0.48224086
10421216_28,0.41795278,0.4427194,0.43700126,0.3557967,0.35041535
10421216_29,0.4837653,0.9847089,0.8409467,0.7268018,0.56117094
10421216_30,0.7257506,0.8013997,0.6241708,0.6388606,0.5828799
10421216_31,0.56264603,0.5558953,0.4447016,0.44191337,0.39688462
10421216_32,0.19013283,0.2742716,0.18874204,0.29097494,0.24618733
10421216_33,0.046435267,0.16742814,0.07063408,0.13472548,0.07670413
10421216_34,0.024108961,0.13768534,0.050102152,0.12849939,0.06213721
10421216_35,0.014934495,0.087365024,0.037882827,0.07208002,0.04142771
10421216_36,0.063455716,0.15604955,0.06431574,0.11947796,0.07493546
10421216_37,0.20529458,0.35274678,0.21524274,0.22295627,0.14360234
10421216_38,0.36937994,1.6948225,1.0425464,0.8954168,0.49452347
10421216_39,0.69789577,0.7631191,0.4554673,0.4804262,0.31556743
10421216_40,0.6091005,0.9663629,0.56575,0.73079383,0.47669947
10421216_41,0.06943184,0.16311608,0.07717196,0.15680456,0.0995705
10421216_42,0.010180622,0.097842015,0.023350552,0.08172048,0.03451997
10421216_43,0.0068621486,0.12138962,0.025130585,0.088494204,0.0351602
10421216_44,0.013399318,0.13761729,0.027815282,0.09548507,0.038358144
10421216_45,0.078976296,0.14021139,0.04127992,0.103028506,0.07712595
10421216_46,0.01868026,0.13377374,0.047852486,0.0876136,0.046718568
10421216_47,0.009763509,0.1256692,0.050196156,0.094251774,0.05559793
10421216_48,0.03311888,0.22201198,0.07874783,0.15623964,0.092148796
10421216_49,0.02597078,0.14508452,0.06581502,0.12371345,0.08169289
10421216_50,0.07172998,0.19587238,0.09843699,0.19661382,0.14142443
10421216_51,0.034681134,0.2361347,0.08907804,0.19165766,0.08800661
10421216_52,0.017754793,0.103834264,0.042649545,0.0980878,0.054998875
10421216_53,0.019491054,0.15040767,0.05601573,0.15100282,0.067407526
10421216_54,0.04318837,0.12281171,0.0667823,0.14898366,0.07291691
10421216_55,0.18864042,0.39848757,0.2939415,0.5141202,0.33064967
10421216_56,0.2157987,0.23354146,0.18746483,0.23935524,0.2267986
10421216_57,0.4627371,0.41260344,0.34494448,0.4057157,0.44578236
10421216_58,0.24717681,0.48662335,0.53180975,0.374084,0.34010237
10421216_59,0.4116755,1.0608101,1.0188537,0.79095954,0.6252338
10421216_60,0.67055285,0.8559716,0.75391984,0.6798872,0.6183436
10421216_61,0.38804477,0.68377775,0.6284933,0.5485848,0.40746236
10421216_62,0.22935289,0.5902763,0.4650539,0.6115339,0.42918906
10421216_63,0.07352397,0.19686282,0.111861415,0.21580273,0.11471644
10421216_64,0.016200095,0.12364546,0.05506338,0.15769204,0.06867963
10421216_65,0.0019714683,0.08994902,0.036051914,0.08557152,0.032871068
10421216_66,0.0133211315,0.15087825,0.047221765,0.11795583,0.050527953
10421216_67,0.015188456,0.14544278,0.051089138,0.109588414,0.045328394
10421216_68,0.02876313,0.13772531,0.07589622,0.11857802,0.07331803
10421216_69,0.090895236,0.15786149,0.12889817,0.14175415,0.14917272
10421216_70,0.545999,0.6194992,0.47848675,0.51413417,0.5236241
10421216_71,0.4708497,1.7965984,1.5300152,1.3890333,0.9143368
10421216_72,0.32265377,0.42970175,0.31481352,0.32941008,0.2576684
10421216_73,0.3520578,0.7554388,0.4749314,0.5548872,0.4938671
10421216_74,0.13747701,0.30187905,0.19571412,0.25651723,0.2780894
10421216_75,0.03025306,0.1929938,0.1065736,0.15068683,0.09447637
10421216_76,0.02886469,0.18962424,0.096123114,0.15001804,0.099320345
10421216_77,0.12260009,0.3224467,0.14137094,0.20944807,0.15621066
10421216_78,0.66846555,0.5836829,0.38938716,0.5853298,0.6063285
10421216_79,0.33522412,0.4532866,0.4388536,0.34736624,0.30437577
10421216_80,0.2417056,0.38421226,0.43798342,0.40428513,0.42462987
10421216_81,0.77992845,0.5571903,0.53573793,0.49298516,0.57708466
10421216_82,0.3663507,0.27614254,0.3175987,0.23705283,0.30334213
10421216_83,0.2948992,0.42567635,0.48127437,0.43167472,0.49210355
10421216_84,0.6282102,0.727536,0.74903476,0.6166398,0.51305425
10421216_85,0.5869123,0.49714005,0.44568038,0.5322927,0.5383788
10421216_86,0.79772854,0.5447959,0.4977724,0.49584556,0.44662517
10421216_87,0.40005532,0.38099653,0.3569345,0.39960387,0.340097
10421216_88,0.06627491,0.117804736,0.08509272,0.13183351,0.11031796
