id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C,deg_pH10,deg_50C
10421216_0,0.5410633,1.0067272,0.60857695,1.4054607,0.57531095
10421216_1,0.47455144,1.4608096,1.0247642,1.3757324,0.90641403
10421216_2,0.12034096,0.30475152,0.10749218,0.30976266,0.226915
10421216_3,0.0650656,0.21841142,0.11000624,0.21537203,0.17179634
10421216_4,0.00812446,0.113307856,0.06630088,0.13325217,0.07768081
10421216_5,0.059450194,0.14104825,0.06472483,0.18736765,0.107998505
10421216_6,0.040328868,0.34673,0.09800446,0.26786244,0.15168601
10421216_7,0.023914088,0.16259354,0.07138491,0.11715551,0.061114635
10421216_8,0.062220678,0.4122947,0.20030278,0.32312128,0.18880181
10421216_9,0.37180132,0.40638036,0.1866782,0.43852457,0.37588757
10421216_10,0.56149817,0.42128247,0.2734732,0.3997648,0.26578552
10421216_11,0.2374076,0.25522798,0.18182364,0.3870791,0.26796108
10421216_12,0.15645713,0.20701012,0.1685498,0.3296599,0.24081212
10421216_13,0.12721184,0.23911846,0.20489004,0.3141475,0.23124635
10421216_14,0.27030525,0.44342062,0.39308187,0.5215912,0.34529698
10421216_15,0.5007887,0.6431749,0.44803804,0.7191449,0.6829188
10421216_16,0.3973612,0.65166736,0.59782225,0.50407493,0.43932092
10421216_17,0.29213575,0.75445366,0.594464,0.68500435,0.5504668
10421216_18,0.27247933,0.63090444,0.40016508,0.45541495,0.4090242
10421216_19,0.22000834,0.3367248,0.2829591,0.26292592,0.26314414
10421216_20,0.14002107,0.5067776,0.35511625,0.40545964,0.31895214
10421216_21,0.3233597,0.7773596,0.44047865,0.52309364,0.36850792
10421216_22,0.5695727,0.5678675,0.34511596,0.54186696,0.44052058
10421216_23,0.4199651,0.41251135,0.25141215,0.36526024,0.24468058
10421216_24,0.31846797,0.37519923,0.2710692,0.4238116,0.30826193
10421216_25,0.122509465,0.18008682,0.18307513,0.24475545,0.13172287
10421216_26,0.29368004,0.32096064,0.30341244,0.42458427,0.35664573
10421216_27,0.8589461,0.641044,0.4611463,0.59750617,0.6684214
10421216_28,0.3554871,0.52900654,0.5000813,0.4127155,0.36466342
10421216_29,0.45758718,0.97020936,0.81790495,0.80887556,0.60396254
10421216_30,0.6153704,1.0335805,0.6710969,0.88103896,0.6944134
10421216_31,0.47968155,0.7179946,0.63655055,0.5731084,0.46845126
