id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C,deg_pH10,deg_50C
10421216_0,0.89077604,1.619786,1.290596,1.6573999,0.96022266
10421216_1,0.5569666,1.0265174,0.80318534,1.2305834,0.68530583
10421216_2,0.17874222,0.47998297,0.2673139,0.60780466,0.28586578
10421216_3,0.06935261,0.24341148,0.1463778,0.38233882,0.17669225
10421216_4,0.04328115,0.15031068,0.09451787,0.29187828,0.102145165
10421216_5,0.051895626,0.15982723,0.08206326,0.2812521,0.13408333
10421216_6,0.09697038,0.47704217,0.21316141,0.50340104,0.30411357
10421216_7,0.06585763,0.20127836,0.11707618,0.22944398,0.15853527
10421216_8,0.107983276,0.5803323,0.36823827,0.53423965,0.31596756
10421216_9,0.50079215,0.3713852,0.19241628,0.3202895,0.35948986
10421216_10,0.542001,0.40632853,0.32381913,0.47551733,0.38344538
10421216_11,0.28838366,0.27670747,0.21752289,0.44652045,0.34658188
10421216_12,0.20596221,0.19574913,0.19821337,0.40128675,0.2788533
10421216_13,0.12542702,0.21781361,0.24005505,0.40542662,0.26827046
10421216_14,0.37186894,0.43434227,0.41598776,0.59876454,0.42698354
10421216_15,0.7201216,0.6615268,0.4789881,0.9051565,0.8592335
10421216_16,0.4169565,0.4396067,0.47482198,0.57562876,0.49596316
10421216_17,0.24041653,0.46832785,0.5132205,0.60253423,0.5207137
10421216_18,0.3798026,0.43369338,0.33788466,0.47701108,0.47516423
10421216_19,0.23117332,0.2652807,0.245821,0.28091776,0.28951705
10421216_20,0.14142561,0.33352232,0.30931044,0.4175431,0.36995146
10421216_21,0.42449537,0.74809515,0.53590846,0.6759703,0.50570124
10421216_22,0.4448352,0.30855396,0.24730775,0.48613387,0.37272668
10421216_23,0.37402013,0.3108137,0.2167327,0.43447876,0.28266644
10421216_24,0.22457947,0.21388632,0.1692617,0.38995057,0.27737534
10421216_25,0.08833719,0.114045545,0.102087915,0.18114164,0.11675278
10421216_26,0.19924092,0.22881997,0.19285074,0.35474914,0.32444245
10421216_27,0.82605463,0.4908941,0.3819875,0.54208016,0.5996768
10421216_28,0.35643318,0.5100934,0.53405,0.4401431,0.39519656
10421216_29,0.4630469,0.9392353,0.8876157,0.8482275,0.5777932
10421216_30,0.68894386,0.71558094,0.5889934,0.69955385,0.5815625
10421216_31,0.5289916,0.82872874,0.7274355,0.6655083,0.5311242
10421216_32,0.24981958,0.4086688,0.31785405,0.4737712,0.3808676
10421216_33,0.08288592,0.2050964,0.10193091,0.2279022,0.1237745
10421216_34,0.02181127,0.122169286,0.05467273,0.14335936,0.060825378
10421216_35,0.018937297,0.0944581,0.038461503,0.11919758,0.054070223
10421216_36,0.058514,0.16962215,0.06256301,0.17655648,0.111109376
10421216_37,0.124384746,0.34828645,0.22857952,0.25237334,0.1629566
10421216_38,0.21926951,1.1411512,0.9348191,0.89080334,0.5741174
10421216_39,0.6942797,0.6316511,0.44477987,0.5123471,0.46607158
10421216_40,0.5403378,0.75751066,0.5447612,0.7016159,0.4309144
10421216_41,0.062595405,0.15270835,0.07052986,0.20156007,0.11868663
10421216_42,0.018519953,0.11219836,0.028114133,0.13949703,0.04700913
10421216_43,0.008294463,0.11371346,0.028685864,0.113095686,0.036363646
10421216_44,0.013771452,0.1431631,0.042184573,0.12086959,0.045232933
10421216_45,0.028813668,0.12102974,0.042030916,0.105547145,0.09171805
10421216_46,0.0054574087,0.13763309,0.04603147,0.096406564,0.03751703
10421216_47,0.0072864443,0.104096256,0.04230841,0.07464154,0.048625436
10421216_48,0.02935516,0.20035836,0.06482939,0.13270147,0.09527676
10421216_49,0.009294696,0.11942915,0.055201955,0.08581546,0.051173348
10421216_50,0.015795998,0.11414285,0.050906565,0.090039894,0.060824595
10421216_51,0.032230593,0.25709224,0.07993621,0.17801571,0.07997976
10421216_52,0.027287692,0.10847231,0.04580966,0.11237033,0.07326692
10421216_53,0.01645545,0.14815766,0.045589205,0.14447713,0.059163406
10421216_54,0.031049207,0.10220828,0.040387485,0.110032104,0.058599703
10421216_55,0.1635951,0.32975462,0.2543288,0.38409537,0.28720498
10421216_56,0.24814308,0.24331348,0.17379986,0.23875538,0.26810044
10421216_57,0.76242805,0.607082,0.43884888,0.5238242,0.59378505
10421216_58,0.37977225,0.68217415,0.70551205,0.45666057,0.42040172
10421216_59,0.54372144,1.1658367,1.1407921,0.8564533,0.6334213
10421216_60,0.905053,1.1423362,0.9187169,0.77729994,0.69228846
10421216_61,0.46371567,1.0162525,0.94376326,0.65156317,0.5131135
10421216_62,0.26190335,0.47412473,0.41318622,0.4797098,0.3971255
10421216_63,0.11422345,0.2311301,0.12877798,0.24121112,0.14441615
10421216_64,0.02208002,0.11428703,0.048197214,0.1095539,0.05957826
10421216_65,0.014092274,0.09285982,0.038472433,0.07583681,0.041915353
10421216_66,0.014726952,0.14086634,0.041593034,0.09831189,0.03871738
10421216_67,0.014141366,0.15530081,0.050652456,0.10267937,0.035837125
10421216_68,0.03876652,0.14083463,0.08651002,0.1010721,0.07397878
10421216_69,0.12864198,0.21774766,0.17868274,0.15253448,0.1690301
10421216_70,0.5378055,0.6816457,0.5369313,0.37314743,0.39006442
10421216_71,0.8166117,2.3615794,2.0861244,1.4876038,1.0458658
10421216_72,0.40788913,0.53538436,0.36602247,0.30583608,0.26087892
10421216_73,0.31780082,0.7747492,0.50993186,0.47208723,0.40847346
10421216_74,0.091940224,0.27780393,0.16983333,0.23244551,0.21538326
10421216_75,0.023506075,0.1918245,0.09870375,0.14767295,0.08267102
10421216_76,0.026597962,0.1978962,0.103124395,0.16455983,0.102816105
10421216_77,0.16941373,0.40248343,0.21385607,0.26006597,0.17992666
10421216_78,0.7973223,0.7213998,0.4045197,0.5884372,0.57601005
10421216_79,0.42279017,0.67595434,0.592997,0.46960866,0.3294882
10421216_80,0.32382166,0.6498239,0.6098888,0.50458294,0.4639231
10421216_81,1.0920553,0.58120245,0.63936675,0.5215378,0.6005846
10421216_82,0.50273263,0.2883315,0.4437747,0.22824924,0.2905426
10421216_83,0.4997334,0.4100021,0.56010354,0.4141267,0.48382533
10421216_84,1.0156716,0.81201434,0.87470824,0.6281488,0.50690347
10421216_85,0.63188744,0.46388996,0.40791208,0.52150375,0.47639987
10421216_86,0.8805531,0.6216732,0.51961154,0.5619317,0.4430393
10421216_87,0.25140727,0.31300652,0.28878474,0.40060663,0.32215846
10421216_88,0.024774313,0.0787837,0.048399698,0.059059724,0.05606419
10421216_89,0.030274436,0.17063105,0.084870026,0.10522738,0.10196569
10421216_90,0.046237648,0.2907963,0.17326221,0.16872427,0.20012017
10421216_91,0.18062826,1.5363648,1.1677239,0.7852602,0.7374595
10421216_92,0.3349216,1.584259,1.0255549,0.6199565,0.46628162
10421216_93,0.2604728,1.2666106,0.73598844,0.5592735,0.4733227
10421216_94,0.49676093,1.6191221,1.2651879,1.1833843,0.78582466
10421216_95,0.23379374,0.46980202,0.33901098,0.3961122,0.35205546
10421216_96,0.070563525,0.3623661,0.20360136,0.2935108,0.18728691
10421216_97,0.0163512,0.13913381,0.07090319,0.12098792,0.07120584
10421216_98,0.0078180805,0.09916435,0.045295272,0.08028899,0.04788994
10421216_99,0.012753248,0.14913785,0.051611055,0.118766636,0.05232719
10421216_100,0.017630532,0.15581077,0.05913376,0.13539533,0.052972913
10421216_101,0.062497057,0.37932664,0.2356835,0.51957434,0.29297403
10421216_102,0.1711696,0.31489372,0.1970523,0.5028544,0.29218745
10421216_103,0.017347943,0.13919246,0.08454114,0.24825627,0.14518829
10421216_104,0.009065542,0.07726344,0.040819645,0.095841154,0.07006115
10421216_105,0.015672944,0.092868365,0.03106663,0.07336012,0.044653203
