id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C,deg_pH10,deg_50C
10421216_0,0.9002694,1.5395267,1.270623,2.0507092,1.1988717
10421216_1,0.19733557,0.31564268,0.24573258,0.4613763,0.26328462
10421216_2,0.04940796,0.16367947,0.10761604,0.28468895,0.15284538
10421216_3,0.05213642,0.2441735,0.09754738,0.29109117,0.12618247
10421216_4,0.017396584,0.11075069,0.05204174,0.12481204,0.06302266
10421216_5,0.033111393,0.1293828,0.068854034,0.1517865,0.108605966
10421216_6,0.105363265,0.44302028,0.22301692,0.4003831,0.31652772
10421216_7,0.0710302,0.17793956,0.117415786,0.168744,0.15404868
10421216_8,0.099668995,0.39322147,0.28605157,0.32607293,0.27442804
10421216_9,0.5427219,0.32084757,0.22557688,0.29265732,0.3515373
10421216_10,0.5120801,0.22541575,0.22627951,0.230607,0.1710948
10421216_11,0.30056086,0.20740142,0.16659032,0.26180083,0.18853076
10421216_12,0.2927463,0.20420064,0.15442199,0.3024906,0.20663777
10421216_13,0.10890572,0.22415842,0.20116466,0.28369233,0.20898984
10421216_14,0.25947678,0.32379174,0.32645494,0.35529366,0.28078565
10421216_15,0.6800271,0.62565124,0.470129,0.614478,0.6271899
10421216_16,0.27597994,0.46959344,0.48459223,0.41100985,0.3556553
10421216_17,0.14800677,0.35867223,0.3980733,0.41627097,0.40829533
10421216_18,0.3521729,0.40368107,0.3412747,0.43718463,0.60450983
10421216_19,0.25897062,0.28609708,0.26870924,0.23293869,0.2544847
10421216_20,0.14337784,0.38235074,0.3368035,0.35959142,0.35258427
10421216_21,0.3023751,0.827359,0.6025891,0.5926194,0.48066306
10421216_22,0.34179956,0.21596308,0.19344568,0.26955333,0.24835722
10421216_23,0.36093622,0.25339243,0.17424248,0.2793215,0.197283
10421216_24,0.2436024,0.22626707,0.1721991,0.28974143,0.19925988
10421216_25,0.0760123,0.13522603,0.104017794,0.1723184,0.11656052
10421216_26,0.18141675,0.14058748,0.14694934,0.19494525,0.2678606
10421216_27,1.209212,0.55051565,0.536188,0.5985877,0.7633059
10421216_28,0.39685416,0.7027736,0.720657,0.5394938,0.46438587
10421216_29,0.63145435,0.9994491,0.86325854,0.87336504,0.65390325
10421216_30,1.1407106,0.9640223,0.71524525,0.8426545,0.854684
10421216_31,0.35012382,0.7167922,0.6225499,0.5290443,0.39274088
10421216_32,0.18922484,0.27902257,0.1876224,0.2927717,0.20808476
10421216_33,0.0680895,0.19154528,0.06347819,0.16287552,0.08152354
10421216_34,0.018990323,0.09609562,0.040705383,0.10015185,0.04307702
10421216_35,0.012765333,0.06590068,0.02729261,0.06177686,0.038264275
10421216_36,0.049824893,0.16226336,0.064077795,0.11623807,0.08093494
10421216_37,0.10922005,0.3129503,0.18149854,0.19146067,0.11430475
10421216_38,0.18153001,1.0376277,0.7186076,0.678428,0.4291367
10421216_39,0.8934646,0.85954267,0.5879781,0.68303514,0.6015894
10421216_40,0.50897694,0.57512796,0.38215864,0.537681,0.36620152
10421216_41,0.05583723,0.13808453,0.05808088,0.2014859,0.08832534
10421216_42,0.027275562,0.13216925,0.044315368,0.16129497,0.060978457
10421216_43,0.0057210475,0.10848357,0.03624609,0.10615009,0.027290791
10421216_44,0.020525396,0.13675535,0.047274113,0.1080488,0.05886136
10421216_45,0.06346105,0.18472324,0.07602841,0.156905,0.12962773
10421216_46,0.0264799,0.11858627,0.057368457,0.09109023,0.058570817
10421216_47,0.014973089,0.100855246,0.052287042,0.086435676,0.07295571
10421216_48,0.048441082,0.22671159,0.10007389,0.18479301,0.13872367
10421216_49,0.037815034,0.21541098,0.110041976,0.1423682,0.09262742
10421216_50,0.09134846,0.24992186,0.11706747,0.17922941,0.11043508
10421216_51,0.07406175,0.25109637,0.08904481,0.16477485,0.10928242
10421216_52,0.032271758,0.11717725,0.042136475,0.08033419,0.04062833
