id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C,deg_pH10,deg_50C
0_0,0.11035454,0.27025867,0.16085732,0.9480566,0.34537083
0_1,0.06214378,0.6370165,0.39475757,0.9073372,0.5124638
0_2,0.08821997,0.31494206,0.20649096,0.47867525,0.4606778
0_3,0.13121751,0.5449458,0.28686428,0.6794981,0.633621
0_4,0.17055699,0.39321095,0.22600363,0.6730359,0.42920423
0_5,0.2675591,1.0324007,0.6092824,1.2132459,0.77174634
0_6,0.15856034,0.12978245,0.08071178,0.2536527,0.1586115
0_7,0.091687515,0.3938567,0.19985458,0.37011665,0.33104795
0_8,0.09815594,0.35955834,0.2132245,0.3176717,0.3340885
0_9,0.04688566,0.2123712,0.11940541,0.15528682,0.12620002
0_10,0.080319054,0.51428246,0.2600367,0.28657714,0.32295984
0_11,0.3507199,0.4059978,0.18526655,0.19904351,0.22973612
0_12,1.3993342,0.88461685,0.5447314,0.61760247,0.81034064
0_13,1.1605169,1.4125901,0.82164407,0.7484147,0.7370989
0_14,0.959465,1.4192767,0.88271487,0.8860729,0.99906915
0_15,1.6500691,1.7818164,1.2083697,1.035037,0.98039895
0_16,0.88479376,1.0811274,0.764787,0.9138314,0.72772527
0_17,0.48393917,0.7327955,0.6150234,0.65952456,0.60771906
0_18,0.086264245,0.21285558,0.13322559,0.18646996,0.17220235
0_19,0.08977699,0.5570746,0.27194417,0.34840482,0.26306897
0_20,0.06283126,0.16526678,0.08473747,0.14085588,0.10220421
0_21,0.060320236,0.2363491,0.14015654,0.16483265,0.1137878
0_22,0.10351463,0.33087873,0.19113505,0.26876533,0.24558508
0_23,0.28409976,0.3125277,0.24049647,0.20969015,0.21988618
0_24,0.5670069,1.3742546,1.0073617,0.9141756,0.64782
0_25,0.39252716,0.41163972,0.2942329,0.3545472,0.31977504
0_26,0.4689864,0.5135113,0.378457,0.403849,0.57265085
0_27,0.17621228,0.38338405,0.38664934,0.30999917,0.29977694
0_28,0.10565685,0.3303303,0.33612877,0.29210752,0.2911987
0_29,0.41082364,0.8499116,0.61212754,0.53074044,0.44343406
0_30,0.56870973,0.33608243,0.2606938,0.34468642,0.32888037
0_31,0.109293975,0.2998364,0.14800745,0.22479434,0.1270954
0_32,0.046376266,0.10379939,0.042820297,0.08234732,0.040255718
0_33,0.020803317,0.123288795,0.023901045,0.08916028,0.044434734
0_34,0.062486,0.095278375,0.028392635,0.06681523,0.062708266
0_35,0.75930965,0.5945525,0.38173956,0.3205635,0.35088512
0_36,0.89782864,0.5027064,0.4405558,0.38690257,0.4842605
0_37,1.0098188,0.53763604,0.5959506,0.4688108,0.6190401
0_38,0.71840847,0.39070988,0.47707197,0.40162137,0.60568327
0_39,0.2976982,0.37952575,0.4237039,0.4418258,0.42797714
0_40,0.088421635,0.2047177,0.11101478,0.17373681,0.1476109
0_41,0.066781096,0.21901064,0.09049167,0.17554095,0.14591573
0_42,0.04911007,0.11325335,0.07096823,0.09053007,0.07728249
0_43,0.055392392,0.15630913,0.11543198,0.16274858,0.16942656
0_44,0.45879626,0.69838774,0.613457,0.5183468,0.53575
0_45,1.0340285,0.6258234,0.7008288,0.5144328,0.63394356
0_46,0.85534424,0.49351582,0.55860007,0.49314243,0.71587014
0_47,0.31657803,0.45020762,0.5269598,0.40383843,0.4268226
0_48,0.15024687,0.42005283,0.45149794,0.4587973,0.4639052
0_49,0.1044528,0.21701072,0.22604011,0.2924276,0.34996414
0_50,0.07277783,0.20590034,0.16496536,0.25700366,0.26251376
0_51,0.0752246,0.24827908,0.2370946,0.46568564,0.38957116
0_52,0.48775107,0.83844197,0.51890445,1.3103619,0.7910689
