id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C,deg_pH10,deg_50C
0_0,0.24001509,0.43158215,0.32849985,1.4829464,0.5584047
0_1,0.16844144,0.42870826,0.4003272,0.8619258,0.45242888
0_2,0.22302596,0.3068353,0.3110826,0.6017234,0.5048211
0_3,0.24124712,0.6607368,0.53557503,0.7814513,0.72357047
0_4,0.31423998,0.3916379,0.36196512,0.57352734,0.54552907
0_5,0.30846995,0.801599,0.7525711,0.8766607,0.7928569
0_6,0.22705436,0.18260905,0.14465436,0.25789142,0.29241323
0_7,0.106122054,0.52949274,0.23655093,0.33653498,0.36492077
0_8,0.07759506,0.27575508,0.13946041,0.1826471,0.21953677
0_9,0.045575827,0.22915158,0.11371832,0.12057613,0.13944837
0_10,0.098891854,0.4349227,0.20432475,0.23220655,0.28814352
0_11,0.35471383,0.3872631,0.20609088,0.1696462,0.2521938
0_12,1.6296114,1.2133844,0.6633044,0.7713176,0.93237233
0_13,1.6761351,1.1538444,0.75676376,0.6794857,0.7401365
0_14,0.98780775,1.2973168,0.7559967,0.81054866,0.9871272
0_15,1.463229,1.1799334,0.9383465,0.8406461,0.7723145
0_16,0.8000575,0.6818111,0.5483651,0.6265738,0.61179626
0_17,0.6122068,0.6019196,0.60206175,0.5521536,0.61454165
0_18,0.1532751,0.21668604,0.13353065,0.12776075,0.17431413
0_19,0.04752015,0.5004893,0.20843785,0.23549156,0.24199861
0_20,0.02783968,0.17502207,0.08074325,0.07371153,0.09193735
0_21,0.030574359,0.24647248,0.12125343,0.10067989,0.12582174
0_22,0.08481985,0.35618207,0.18501869,0.19515662,0.23874664
0_23,0.24415055,0.31822902,0.2580508,0.2319533,0.26958933
0_24,0.5230805,1.0758917,0.9478282,0.9320723,0.7745234
0_25,0.3125313,0.30589315,0.2772531,0.292377,0.31747833
0_26,0.41387796,0.5228369,0.39823553,0.43668187,0.5245689
0_27,0.16184703,0.298052,0.3058159,0.27857888,0.2938205
0_28,0.11933705,0.23725638,0.24891563,0.2484717,0.29620296
0_29,0.48335487,0.3990199,0.36155578,0.3652013,0.38443735
0_30,0.49904782,0.30074432,0.2422826,0.34876412,0.37808174
0_31,0.08383665,0.36243957,0.14552884,0.23081575,0.17555106
0_32,0.031458173,0.13418673,0.057087082,0.09263423,0.07268602
0_33,0.02229232,0.16589557,0.060525354,0.09715891,0.07686406
0_34,0.0443363,0.15859807,0.071579866,0.07195028,0.0795452
0_35,0.6813499,0.55840373,0.44899583,0.42934704,0.4190443
0_36,1.1197183,0.9014429,0.7076233,0.6675847,0.68145245
0_37,1.1190948,0.9849421,0.9808773,0.79806244,0.7598807
0_38,0.7769117,0.8104595,0.7893603,0.6502601,0.6806987
0_39,0.50429106,0.45646185,0.43019563,0.45473206,0.43628734
0_40,0.102847844,0.47435862,0.2898664,0.3020748,0.31013468
0_41,0.03696357,0.28153193,0.11635047,0.15228465,0.14639044
0_42,0.023325715,0.13950232,0.072939634,0.06757615,0.07193944
0_43,0.040418364,0.21276397,0.1308383,0.15522985,0.1713584
0_44,0.6017741,0.88401365,0.7391897,0.6841649,0.6233865
0_45,0.8965914,0.8366866,0.80036926,0.64252925,0.6684412
0_46,0.9942021,0.7083329,0.6957505,0.5888332,0.70756084
0_47,0.5721487,0.70353645,0.7680661,0.5876944,0.5396564
0_48,0.3513548,0.7238409,0.742247,0.7222886,0.68038046
0_49,0.23940063,0.40688267,0.41433048,0.5023219,0.4320888
0_50,0.25570172,0.50121254,0.47670645,0.7379813,0.5745438
0_51,0.2150473,0.4902618,0.5256971,1.0540757,0.57082903
0_52,0.4144408,0.8066798,0.5944354,2.0633626,0.7055758
