id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C,deg_pH10,deg_50C
0_0,0.3659717,0.5417924,0.43739614,1.5998124,0.6545861
0_1,0.3399741,1.0318339,0.8898591,1.4549816,0.8975574
0_2,0.32196534,0.5453433,0.53516823,0.7677501,0.8174935
0_3,0.34262457,0.8815554,0.75843656,0.8997814,0.9092846
0_4,0.2281406,0.39809588,0.44471413,0.4795487,0.5033035
0_5,0.34470335,1.3920555,1.0894296,1.2419322,1.0693284
0_6,0.26248208,0.14948556,0.09440956,0.2086548,0.2473691
0_7,0.095489115,0.42777237,0.23663521,0.33457187,0.36360228
0_8,0.0801544,0.31071395,0.19520237,0.2592383,0.3300928
0_9,0.049983583,0.22223732,0.1453945,0.14529335,0.17519787
0_10,0.09506419,0.47438478,0.25224763,0.2398574,0.39470214
0_11,0.46832722,0.50663304,0.35333458,0.3046832,0.4554807
0_12,1.3142549,0.62649107,0.49891874,0.5141708,0.6983331
0_13,1.4376088,1.1046576,0.80433047,0.60275686,0.6797607
0_14,0.914973,1.1010358,0.7351621,0.83091134,0.90346205
0_15,1.2246642,1.3469453,0.97438943,0.8552568,0.79479206
0_16,0.7245123,0.8065262,0.6735784,0.70114076,0.5985045
0_17,0.6512308,0.6160543,0.6382239,0.5449368,0.6321411
0_18,0.17089434,0.20472172,0.1516708,0.14590597,0.20716283
0_19,0.09916142,0.4650283,0.22725824,0.2496966,0.25138935
0_20,0.043448973,0.14207527,0.07459566,0.09288295,0.11725289
0_21,0.050424688,0.2435014,0.15873241,0.13218054,0.1382139
0_22,0.0869143,0.2894549,0.17009753,0.18820918,0.26744825
0_23,0.36838806,0.36106092,0.37179232,0.23048842,0.2687376
0_24,0.48514456,1.2196867,1.1081078,0.91214484,0.71954536
0_25,0.4503627,0.431972,0.3613899,0.36905354,0.3280401
0_26,0.43628776,0.6437339,0.42958218,0.5137409,0.53284043
0_27,0.13798673,0.34671122,0.3547212,0.30534703,0.30612612
0_28,0.09004969,0.27049008,0.30973494,0.29534763,0.32307094
0_29,0.41583312,0.6928061,0.6139153,0.58038235,0.50559443
0_30,0.31145275,0.42092207,0.32613614,0.47350565,0.38280952
0_31,0.088196814,0.2530344,0.101341516,0.19612603,0.12401866
0_32,0.037484936,0.09974405,0.024853367,0.06425908,0.031341445
0_33,0.027188184,0.10807073,0.016194304,0.06378214,0.023347903
0_34,0.1187747,0.121628165,0.04026179,0.07292582,0.0745816
0_35,0.8968959,0.696035,0.59953237,0.50877535,0.46630624
0_36,0.8361522,0.8427719,0.72859216,0.55390257,0.6021346
0_37,0.8672967,0.8286022,0.7889433,0.5548242,0.614133
0_38,0.75567746,0.50920755,0.5290035,0.42655933,0.6612079
0_39,0.42370817,0.5220201,0.5011371,0.44782624,0.46633682
0_40,0.10102006,0.28056493,0.15399891,0.17742117,0.18438476
0_41,0.054340422,0.22698675,0.0947032,0.14805084,0.1453192
0_42,0.036496572,0.14108047,0.07920027,0.093481205,0.084570155
0_43,0.03368614,0.1439255,0.09140029,0.1227584,0.15210257
0_44,0.32259944,0.57516444,0.48567185,0.5197164,0.4847297
0_45,0.86768186,0.5115644,0.54222023,0.50612426,0.67524815
0_46,0.78352237,0.52132607,0.505247,0.42688578,0.70959294
0_47,0.32017294,0.5779079,0.6047126,0.4414159,0.49496555
0_48,0.13352191,0.49053094,0.4802973,0.4959336,0.5099287
0_49,0.1301488,0.2693604,0.26368916,0.30163753,0.38578954
0_50,0.11672747,0.34684455,0.3393975,0.43019405,0.43041778
0_51,0.12913662,0.22372013,0.25681877,0.47283846,0.39601249
0_52,0.36483923,0.46386737,0.39627215,1.0000172,0.5749594
